iso_code,country,2022_last_updated,2020_population,area,growth_rate,world_%,rank,density_sq_km
GUM,Guam,"1,71,081","1,68,775",549 sq_km,0.01,0,190,312/sq_km
CUW,Curacao,"1,65,310","1,64,093",444 sq_km,0,0,191,373/sq_km
KIR,Kiribati,"1,22,762","1,19,449",811 sq_km,0.02,0,192,152/sq_km
FSM,Micronesia,"1,17,161","1,15,023",702 sq_km,0.01,0,193,167/sq_km
GRD,Grenada,"1,13,366","1,12,523",344 sq_km,0,0,194,330/sq_km
TON,Tonga,"1,07,421","1,05,695",747 sq_km,0.01,0,196,144/sq_km
ABW,Aruba,"1,07,500","1,06,766",180 sq_km,0,0,197,598/sq_km
VIR,United States Virgin Islands,"1,04,080","1,04,425",347 sq_km,0,0,198,300/sq_km
ATG,Antigua And Barbuda,"99,290","97,929",442 sq_km,0.01,0,199,225/sq_km
SYC,Seychelles,"99,317","98,347",452 sq_km,0.01,0,200,220/sq_km
AND,Andorra,"77,463","77,265",468 sq_km,0,0,202,166/sq_km
DMA,Dominica,"72,344","71,986",751 sq_km,0,0,203,96/sq_km
CYM,Cayman Islands,"67,277","65,722",264 sq_km,0.01,0,204,255/sq_km
BMU,Bermuda,"61,939","62,278",54 sq_km,0,0,205,"1,147/sq_km"
MHL,Marshall Islands,"60,057","59,190",181 sq_km,0.01,0,206,332/sq_km
MNP,Northern Mariana Islands,"58,269","57,559",464 sq_km,0.01,0,207,126/sq_km
GRL,Greenland,"56,973","56,770","2,166,086 sq_km",0,0,208,0/sq_km
ASM,American Samoa,"55,030","55,191",199 sq_km,0,0,209,277/sq_km
KNA,Saint Kitts And Nevis,"53,871","53,199",261 sq_km,0.01,0,210,206/sq_km
FRO,Faroe Islands,"49,233","48,863","1,393 sq_km",0,0,211,35/sq_km
MAF,Sint Maarten,"43,966","42,876",34 sq_km,0.01,0,212,"1,293/sq_km"
MCO,Monaco,"39,783","39,242",2 sq_km,0.01,0,213,"19,892/sq_km"
TCA,Turks And Caicos Islands,"39,741","38,717",948 sq_km,0.01,0,214,42/sq_km
